question,answer
Pourquoi il y a une différence entre le prix du produit que j'ai mis en avant et le prix du produit dans mes statistiques ?,"Lorsque tu utilises des liens Shop My Influence, tu peux percevoir des commissions sur l’ensemble du panier d’achat de ton follower, et pas seulement sur le produit que tu as mis en avant. Par exemple, si un follower clique sur ton lien pour une paire de baskets à 100€, mais ajoute aussi un pull à 30€ et une chemise à 20€, tu gagneras une commission sur tout son panier (150€).Dans l’onglet Statistiques, nous affichons l’image du produit cliqué ainsi que le montant total du panier d’achat de ton follower."
"Outre les performances et les commissions, qu'offrons-nous ?","Avec Shop My Influence, tu peux travailler avec tes marques préférées, monétiser ton contenu facilement grâce à nos liens d’affiliation et recevoir des cadeaux exclusifs. C’est une façon simple et authentique de gagner un complément de revenu tout en partageant ce que tu aimes avec ta communauté ! "
Comment recevoir tes commissions?,"Une fois que tu as atteint 100€ de gains, tu pourras mettre ton iban et recuperer tes commissions "
Quel est le montant des commissions éligibles au paiement ?,"Le montant des commissions éligibles au paiement correspond aux commissions validées et payées par les marques à Shop My Influence."
Quelles sont les conditions pour bénéficier de mes paiements ?,"Tu dois compléter les informations demandées dans la rubrique ""Coordonnées de paiement.Tu peux faire une demande de paiement chaque mois si tu atteins les 100€ de commissions à payer."
Comment faire ma demande de paiement?,"Les demandes de paiement sont proposées chaque début de mois dans la rubrique ""Historique des paiements"".Le versement s'effectue par virement bancaire ou paypal sous un délai de 15 jours après ta demande."
Où consulter et télécharger ma facture?,"Les factures sont disponibles pour chaque paiement reçu dans la rubrique ""Historique des paiements""."
Comment fonctionne le programme de parrainage ?,Partage le lien de parrainage avec tes amis et gagne 10 % de leurs commissions pendant un an.
Comment modifier une whislist ,"Pour modifier une wishlist, appuie sur un produit pour le sélectionner, puis déplace-le vers une autre liste ou supprime-le en cliquant sur l’icône poubelle."
Comment supprimer une wishlist ?,"Pour supprimer une wishlist, appuie sur l’icône poubelle située en bas à gauche de l’écran et confirme la suppression."
Comment masquer une whislist ? ,"Pour masquer une wishlist, clique sur les trois petits points en bas à droite de l’écran, puis sélectionne l’option ""Masquer""."
Quel est le délai pour recevoir mes gains après demande de paiement ?,"Une fois la demande effectuée, les gains sont versés sous un délai de 90 jours."
Comment contacter l’équipe Shop My Influence en cas de problème ?,"Tu peux contacter l’équipe par e-mail ( xxx) ou via WhatsApp (xxx) pour toute question ! "
Puis-je supprimer mon compte Shop My Influence ?,"Oui, il est tout à fait possible de supprimer votre compte Shop My Influence. Pour ce faire, suivez ces étapes simples : Ouvrez l'application Shop My Influence. Allez dans le menu en bas à droite. Sélectionnez l'option ""À propos"". Vous trouverez un bouton avec l'option ""Supprimer mon compte"".En appuyant sur ce bouton, vous pourrez supprimer définitivement votre compte. "
Comment postuler a une campagne de gifting? ,"Pour postuler à une campagne, rends-toi en bas de la page d'accueil ou dans le menu, sélectionne ""Campagnes"", puis remplis le formulaire correspondant à la campagne de ton choix."
Puis-je postuler à plusieurs campagnes en même temps ?,"Oui, tu peux postuler à plusieurs campagnes en même temps."
Comment postuler a un programme ambassadeur ? ,"Pour postuler à un programme ambassadeur, rends-toi en bas de la page d'accueil ou dans le menu, sélectionne ""Programme Ambassadeur"", puis remplis le formulaire correspondant au programme (marque) de ton choix."
Puis-je postuler a plusieurs programmes ambassadeurs ? ,"Oui, tu peux postuler à plusieurs programmes ambassadeurs en même temps."
Qu'est-ce qu'une campagne de gifting?,"Une campagne de gifting est une opération où des marques offrent gratuitement des produits aux influenceurs, sans obligation d'achat. Pour participer, l'influenceur doit postuler à la campagne et accepter les conditions de participation précisées par la marque. Une fois la candidature soumise, la marque examine le profil de l'influenceur. Si la candidature est acceptée, l'influenceur pourra bénéficier du produit offert dans le cadre de la campagne. En échange, il doit réaliser les missions prévues dans les conditions de participation."
Comment savoir si j’ai été sélectionné pour une campagne de gifting?,"Que votre candidature soit acceptée ou refusée, vous recevrez une notification dans l'application ainsi qu'un email pour vous informer de la décision de la marque."
Qu'est-ce qu'une campagne CPC?,Une campagne CPC (Coût Par Clic) est une opération où vous êtes rémunéré pour chaque clic généré sur vos liens trackés de la marque.
Quelle est la différence entre un clic brut et un clic net ?,"Un clic brut correspond à tous les clics enregistrés, qu'ils soient uniques ou non. Chaque fois qu'un utilisateur clique sur une URL de tracking, cela est comptabilisé comme un clic brut, peu importe s’il a déjà cliqué auparavant. Un clic net est un clic unique, enregistré une seule fois par combinaison navigateur + appareil + date + lien de tracking + ip. Autrement dit, si un utilisateur clique plusieurs fois sur la même offre depuis le même appareil et navigateur dans une période de 24h, un seul de ces clics sera considéré comme un clic net, mais tous seront comptés comme des clics bruts."
Comment mes commissions de clics sont calculées?,"Lors d'une campagne CPC, seule la base des clics nets est utilisée pour calculer votre rémunération."
Qu'est-ce qu'un capping?,"Le capping est une limite maximale fixée par la marque sur le nombre de clics rémunérés dans une campagne CPC. Une fois que vous atteignez ce nombre de clics, les clics supplémentaires ne sont plus comptabilisés pour votre rémunération."
Comment est calculée ma commission ?,La commission est calculée sur le montant HT d'une commande.
Les differents statut de paiment : ,"Commissions payées : Toutes les commissions qui t'ont été payées depuis ton inscription sur notre application. Commissions à payer : Commissions que l'on doit te verser en début de mois. Normalement, tu reçois une demande de paiement par e-mail chaque début de mois si tu atteins les 100€ avant cette demande de paiement. Si tu les atteins après, c'est au début du mois suivant que tu auras cette demande. Commissions validées : C'est la somme des commissions à payer + celles en attente d'être payées par les marques. En attente de paiement par les marques : Les commissions que l'on attend d'être payées par les marques pour vous payer."
